Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1260000,1.3497977,166.1904761904762,-0.15405378,-0.34689356050183695,-0.34689356050183695,1.0
1270000,1.3871237,175.77358490566039,-0.10209047,-0.29877777259658883,-0.29877777259658883,1.0
1280000,1.3895737,195.3653846153846,-0.018808145,0.1402653748026261,0.1402653748026261,1.0
1290000,1.3118963,159.70689655172413,0.004746782,0.14190690193710656,0.14190690193710656,1.0
1300000,1.4026501,229.33333333333334,-0.07578609,-0.31142222815089754,-0.31142222815089754,1.0
1310000,1.3358634,186.75471698113208,-0.048620384,-0.11101509911834069,-0.11101509911834069,1.0
1320000,1.353432,161.5625,0.004692129,-0.14878750429488719,-0.14878750429488719,1.0
1330000,1.354083,173.42372881355934,0.074018754,0.3305689648821436,0.3305689648821436,1.0
1340000,1.336739,183.3090909090909,-0.053602535,-0.2880363805727525,-0.2880363805727525,1.0
1350000,1.3290995,181.0,-0.034174904,-0.030403782174272358,-0.030403782174272358,1.0
1360000,1.3433747,218.17391304347825,-0.0833,-0.32009131007868313,-0.32009131007868313,1.0
1370000,1.3065355,181.8181818181818,-0.021434935,0.0017636337063529274,0.0017636337063529274,1.0
1380000,1.3324045,217.10638297872342,-0.07788105,-0.27640000277239346,-0.27640000277239346,1.0
1390000,1.3340267,197.76470588235293,-0.017462444,-0.012333338751512416,-0.012333338751512416,1.0
1400000,1.3188416,198.24444444444444,-0.07161599,-0.3211466630299886,-0.3211466630299886,1.0
1410000,1.32789,207.19230769230768,-0.12730974,-0.4533423102245881,-0.4533423102245881,1.0
1420000,1.3381788,174.6851851851852,0.042692762,0.1216727153821425,0.1216727153821425,1.0
1430000,1.3302107,163.9375,-0.015579401,-0.3450874905101955,-0.3450874905101955,1.0
1440000,1.3475506,187.28301886792454,0.03359824,-0.07839245981765243,-0.07839245981765243,1.0
1450000,1.3375809,168.07142857142858,0.06694873,-0.03810357728174755,-0.03810357728174755,1.0
1460000,1.3004411,154.76119402985074,0.009573642,-0.16379696582302902,-0.16379696582302902,1.0
1470000,1.326499,199.1764705882353,-0.0030697256,-0.05075000111873333,-0.05075000111873333,1.0
1480000,1.3542727,210.3695652173913,-0.047245365,-0.2155652230848437,-0.2155652230848437,1.0
1490000,1.3636435,195.8653846153846,0.11036421,0.2871961539181379,0.2871961539181379,1.0
1500000,1.3556845,177.16666666666666,0.033308133,-0.15724075751172173,-0.15724075751172173,1.0
1510000,1.3470001,174.45762711864407,0.028552016,-0.11856208022298484,-0.11856208022298484,1.0
1520000,1.3145059,178.92857142857142,0.05365993,-0.10564561789495903,-0.10564561789495903,1.0
1530000,1.3712276,166.2982456140351,0.084229164,0.19271578365250638,0.19271578365250638,1.0
1540000,1.3379028,190.3846153846154,0.03368301,-0.12576155393169478,-0.12576155393169478,1.0
1550000,1.3638016,206.1,-0.0056888964,-0.15984801173210145,-0.15984801173210145,1.0
1560000,1.3204522,173.91228070175438,0.007161078,-0.2051684354480944,-0.2051684354480944,1.0
